q_id,question,collection
BNS_to_IPC_358,Does the 'text' field contain any content in chunk BNS_to_IPC_358?,collection_map
BNS_to_IPC_358,What is the value of the doc_id field for chunk BNS_to_IPC_358?,collection_map
BNS_to_IPC_358,What are the values of the 'metadata' field in the chunk BNS_to_IPC_358?,collection_map
BNS_to_IPC_358,"Are there any section numbers, law titles, or abbreviations present in the 'text' field of chunk BNS_to_IPC_358?",collection_map
BNSS_to_CrPC_116,BNSS_to_CrPC_116 has an empty 'text' field. What exact types of content would you need to populate to generate content-specific questions for this chunk?,collection_map
BNSS_to_CrPC_116,"Given the chunk ID BNSS_to_CrPC_116, what CrPC section reference would you expect to be associated with it, and how would you verify it once content is added?",collection_map
BNSS_to_CrPC_116,"Which metadata fields (e.g., doc_id, metadata keys) are essential for BNSS_to_CrPC_116 to support automated question generation when the current fields are empty?",collection_map
BNSS_to_CrPC_116,"Describe a workflow to populate BNSS_to_CrPC_116 from an external legal corpus so that five self-contained, content-based questions can be produced.",collection_map
BNSS_to_CrPC_116,Propose a minimal schema extension or data model that would allow BNSS_to_CrPC_116 to be used for generating precise questions even if the initial 'text' is blank.,collection_map
BSA_to_IEA_65,What is the intended legal scope of the cross-reference labeled BSA_to_IEA_65 in this dataset?,collection_map
BSA_to_IEA_65,Which section numbers or statute abbreviations would you expect to accompany BSA_to_IEA_65 to locate the linked provisions?,collection_map
BSA_to_IEA_65,"If BSA_to_IEA_65 denotes a cross-reference between two regulatory frameworks, which two frameworks are being cross-mapped?",collection_map
BSA_to_IEA_65,What metadata fields would you expect to accompany an empty chunk to enable precise question generation about BSA_to_IEA_65?,collection_map
BSA_to_IEA_65,"How would you verify, once the text is provided, that questions generated for BSA_to_IEA_65 correctly map to the linked BSA and IEA provisions?",collection_map
BNS_to_IPC_50,"Based on the chunk_id BNS_to_IPC_50, which two legal codes or systems are indicated to be cross-referenced?",collection_map
BNS_to_IPC_50,"If IPC stands for the Indian Penal Code, what type of provisions would a BNS_to_IPC cross-reference typically connect from BNS to IPC?",collection_map
BNS_to_IPC_50,What citation format is expected for IPC sections within a document labeled BNS_to_IPC_50?,collection_map
BNS_to_IPC_50,"What might the suffix ""_50"" denote in the chunk_id BNS_to_IPC_50 with respect to cross-reference mappings?",collection_map
BNS_to_IPC_50,"What minimum metadata would you require from the chunk to determine its legal scope, given only the chunk_id?",collection_map
BNS_to_IPC_2(26),What is the exact value of the chunk_id field for this legal text chunk?,collection_map
BNS_to_IPC_2(26),What is the value contained in the doc_id field?,collection_map
BNS_to_IPC_2(26),What is the value of the text field for this chunk?,collection_map
BNS_to_IPC_2(26),What is the content of the metadata field for this chunk?,collection_map
BNS_to_IPC_2(26),What are the top-level keys in this chunk's JSON object?,collection_map
BNS_to_IPC_123,Which two legal instruments are connected by the crosswalk labeled BNS_to_IPC_123?,collection_map
BNS_to_IPC_123,Does this chunk contain any explicit one-to-one mappings between BNS provisions and IPC sections?,collection_map
BNS_to_IPC_123,"What fields are currently present in the chunk (doc_id, text, metadata) and what are their values?",collection_map
BNS_to_IPC_123,"If you were to populate the text for BNS_to_IPC_123, what elements would you include to establish clear cross-references (e.g., BNS identifiers, IPC identifiers, notes)?",collection_map
BNS_to_IPC_123,What edition or versioning information would typically accompany a crosswalk like BNS_to_IPC_123 in a legal database?,collection_map
BSA_to_IEA_148,What is the value of the chunk_id field for this dataset element?,collection_map
BSA_to_IEA_148,What is the value of the doc_id field for chunk_id BSA_to_IEA_148?,collection_map
BSA_to_IEA_148,What is the content of the text field for chunk_id BSA_to_IEA_148?,collection_map
BSA_to_IEA_148,What is the content of the metadata field for chunk_id BSA_to_IEA_148?,collection_map
BSA_to_IEA_148,What keys exist within the metadata object for chunk_id BSA_to_IEA_148?,collection_map
BSA_to_IEA_75,What is the chunk_id value for this legal text chunk?,collection_map
BSA_to_IEA_75,Is the 'text' field populated in this chunk (BSA_to_IEA_75)?,collection_map
BSA_to_IEA_75,What is the value of the 'doc_id' field in this chunk?,collection_map
BSA_to_IEA_75,What does the 'metadata' field contain for this chunk?,collection_map
BSA_to_IEA_75,How many top-level keys are present in this chunk's JSON structure?,collection_map
BNS_to_IPC_121 (2),What is the exact value of the chunk_id field in the provided chunk?,collection_map
BNS_to_IPC_121 (2),Does the text field of the chunk contain any legal text content?,collection_map
BNS_to_IPC_121 (2),What is the value of doc_id for this chunk?,collection_map
BNS_to_IPC_121 (2),What is the content of the metadata field in this chunk?,collection_map
BNS_to_IPC_121 (2),"Given that the text field is empty, what implications does that have for generating law-questions directly from this chunk?",collection_map
BNSS_to_CrPC_306,What is the exact value of the 'chunk_id' field in this chunk?,collection_map
BNSS_to_CrPC_306,"Is the 'text' field in this chunk empty or non-empty, and what is its content?",collection_map
BNSS_to_CrPC_306,What is the value of the 'doc_id' field in this chunk?,collection_map
BNSS_to_CrPC_306,"What does the 'metadata' field contain for this chunk (e.g., its keys or lack thereof)?",collection_map
BNSS_to_CrPC_306,List the top-level keys present in this chunk's JSON object.,collection_map
BNSS_to_CrPC_181,What is the objective implied by the chunk identifier BNSS_to_CrPC_181?,collection_map
BNSS_to_CrPC_181,Which statutes or sections would you expect to see referenced in a BNSS_to_CrPC_181 cross-reference?,collection_map
BNSS_to_CrPC_181,How should BNSS_to_CrPC_181 handle amendments if this chunk involves CrPC changes?,collection_map
BNSS_to_CrPC_181,What metadata would clarify the scope and applicability of BNSS_to_CrPC_181 in a legal database?,collection_map
BNSS_to_CrPC_181,Which authorities or sources would you consult to interpret BNSS_to_CrPC_181 when the text is not provided?,collection_map
BNS_to_IPC_172,"In this chunk, what is the value of the 'chunk_id' field?",collection_map
BNS_to_IPC_172,What is the value of the 'doc_id' field in this chunk?,collection_map
BNS_to_IPC_172,What content is currently stored in the 'text' field of this chunk?,collection_map
BNS_to_IPC_172,What is the value of the 'metadata' field for this chunk?,collection_map
BNS_to_IPC_172,What are the top-level fields present in this chunk's JSON object?,collection_map
BNSS_to_CrPC_361,What is the exact chunk_id value assigned to this legal text fragment?,collection_map
BNSS_to_CrPC_361,Does the 'text' field in this chunk contain any substantive content?,collection_map
BNSS_to_CrPC_361,What is the value of the 'doc_id' field in the chunk's JSON?,collection_map
BNSS_to_CrPC_361,Is the 'metadata' object populated with entries for this chunk?,collection_map
BNSS_to_CrPC_361,What are the top-level keys of this JSON chunk?,collection_map
BNS_to_IPC_280,"In the JSON for chunk_id 'BNS_to_IPC_280', what is the value of the 'doc_id' field?",collection_map
BNS_to_IPC_280,Does the 'text' field contain any content for the chunk 'BNS_to_IPC_280'?,collection_map
BNS_to_IPC_280,What are the top-level keys in the chunk JSON object for 'BNS_to_IPC_280'?,collection_map
BNS_to_IPC_280,What is the value of the 'metadata' field for this chunk?,collection_map
BNS_to_IPC_280,What is the exact value of the 'chunk_id' field in this JSON?,collection_map
BNSS_to_CrPC_77,List any CrPC section numbers referenced in BNSS_to_CrPC_77.,collection_map
BNSS_to_CrPC_77,"Identify the primary legal topic area BNSS_to_CrPC_77 is intended to govern (e.g., arrests, warrants, trials).",collection_map
BNSS_to_CrPC_77,Does BNSS_to_CrPC_77 include any defined terms that alter standard CrPC interpretation?,collection_map
BNSS_to_CrPC_77,Are there cross-references to other statutes within BNSS_to_CrPC_77?,collection_map
BNSS_to_CrPC_77,What is the recommended approach to handle an empty 'text' field in BNSS_to_CrPC_77 when generating questions?,collection_map
BSA_to_IEA_138,What is the chunk_id of this legal text chunk?,collection_map
BSA_to_IEA_138,Does the 'text' field for chunk BSA_to_IEA_138 contain any substantive content?,collection_map
BSA_to_IEA_138,Are there any non-empty values in the 'doc_id' or 'metadata' fields for chunk BSA_to_IEA_138?,collection_map
BSA_to_IEA_138,"When the 'text' field is empty, what steps should a legal question generator take to create five questions for chunk BSA_to_IEA_138?",collection_map
BSA_to_IEA_138,"If you must still provide five questions for BSA_to_IEA_138, propose a set of five question templates that do not rely on the chunk's substantive text.",collection_map
BNSS_to_CrPC_73,"In BNSS_to_CrPC_73, which law title or abbreviations indicate a mapping from BNSS to the CrPC?",collection_map
BNSS_to_CrPC_73,What CrPC sections or BNSS references are said to be affected by BNSS_to_CrPC_73?,collection_map
BNSS_to_CrPC_73,"Does BNSS_to_CrPC_73 establish transitional provisions, amendments, or repeals to the CrPC, and which are they?",collection_map
BNSS_to_CrPC_73,"Is there an enactment date, citation, or regulatory authority linked to BNSS_to_CrPC_73?",collection_map
BNSS_to_CrPC_73,"What is the intended jurisdictional scope of BNSS_to_CrPC_73— nationwide CrPC changes, or specific to a jurisdiction?",collection_map
BNS_to_IPC_180,What is the exact value of the chunk_id field in this chunk?,collection_map
BNS_to_IPC_180,"What is the value of the doc_id field in the chunk with chunk_id ""BNS_to_IPC_180""?",collection_map
BNS_to_IPC_180,What is the value of the text field in this chunk?,collection_map
BNS_to_IPC_180,"Does the metadata object for this chunk contain any keys, and if so, what are they?",collection_map
BNS_to_IPC_180,What could the identifier 'BNS_to_IPC_180' suggest about the intended legal mapping or cross-reference for this chunk?,collection_map
BNS_to_IPC_125 (b),"What IPC element is suggested by the chunk_id ""BNS_to_IPC_125 (b)""?",collection_map
BNS_to_IPC_125 (b),"Is there any substantive text present in this chunk's ""text"" field?",collection_map
BNS_to_IPC_125 (b),"What is the value of the ""doc_id"" associated with this chunk?",collection_map
BNS_to_IPC_125 (b),Which law title would you consult to understand IPC Section 125(b)?,collection_map
BNS_to_IPC_125 (b),"What does the empty ""text"" field imply about the availability of case content for analysis?",collection_map
BNSS_to_CrPC_452,"What is the value of the ""chunk_id"" field in this chunk?",collection_map
BNSS_to_CrPC_452,"Is the ""text"" field in this chunk empty or non-empty?",collection_map
BNSS_to_CrPC_452,"What is the value of the ""doc_id"" field in this chunk?",collection_map
BNSS_to_CrPC_452,"What is the structure and content of the ""metadata"" field in this chunk?",collection_map
BNSS_to_CrPC_452,"Does this chunk contain any substantive content such as sections, titles, or abbreviations?",collection_map
BSA_to_IEA_2(1) (c),What is the stated purpose of the provision identified as BSA_to_IEA_2(1) (c)?,collection_map
BSA_to_IEA_2(1) (c),Which parties are bound by the obligations in BSA_to_IEA_2(1) (c)?,collection_map
BSA_to_IEA_2(1) (c),"What actions are required or prohibited by BSA_to_IEA_2(1) (c), and what penalties apply?",collection_map
BSA_to_IEA_2(1) (c),"Does BSA_to_IEA_2(1) (c) include defined terms, and how are they interpreted within the section?",collection_map
BSA_to_IEA_2(1) (c),What is the effective date of BSA_to_IEA_2(1) (c) and are there any transitional provisions?,collection_map
BNS_to_IPC_2(29),What is the value of the doc_id field in chunk BNS_to_IPC_2(29)?,collection_map
BNS_to_IPC_2(29),Is there any substantive text present in the 'text' field of chunk BNS_to_IPC_2(29)?,collection_map
BNS_to_IPC_2(29),Does the 'metadata' object for chunk BNS_to_IPC_2(29) contain any keys or values?,collection_map
BNS_to_IPC_2(29),"How many top-level keys exist in the JSON object for chunk BNS_to_IPC_2(29), and what are their names?",collection_map
BNS_to_IPC_2(29),"If you were to populate the 'text' field with IPC-related content for BNS_to_IPC_2(29), which IPC section would you reference first and why?",collection_map
BNSS_to_CrPC_443,What is the value of the chunk_id field for this entry?,collection_map
BNSS_to_CrPC_443,What is the value of the doc_id field in this chunk?,collection_map
BNSS_to_CrPC_443,What is the value of the text field in this chunk?,collection_map
BNSS_to_CrPC_443,What is the value of the metadata field in this chunk?,collection_map
BNSS_to_CrPC_443,"Does the chunk contain any substantive legal text to analyze, given that the text field is empty?",collection_map
BNSS_to_CrPC_129,What is the value of the chunk_id field in this JSON snippet?,collection_map
BNSS_to_CrPC_129,Does the text field for BNSS_to_CrPC_129 contain any content?,collection_map
BNSS_to_CrPC_129,What is the value of the doc_id field in this chunk?,collection_map
BNSS_to_CrPC_129,Does the metadata object in this chunk contain any keys?,collection_map
BNSS_to_CrPC_129,Which field would you check first if you needed to add actual legal text to BNSS_to_CrPC_129?,collection_map
BNSS_to_CrPC_28,"What is the main subject area addressed by BNSS_to_CrPC_28 (e.g., offenses, proceedings, or enforcement)?",collection_map
BNSS_to_CrPC_28,Which authority has jurisdiction over BNSS_to_CrPC_28 according to the chunk?,collection_map
BNSS_to_CrPC_28,What condition must be met before BNSS_to_CrPC_28 can be invoked?,collection_map
BNSS_to_CrPC_28,What remedies or outcomes does BNSS_to_CrPC_28 specify for the parties involved?,collection_map
BNSS_to_CrPC_28,"Does BNSS_to_CrPC_28 reference any other sections or statutes, and if so, which ones?",collection_map
BNS_to_IPC_324 (1),Which specific statutes or provisions are cited within chunk BNS_to_IPC_324 (1)?,collection_map
BNS_to_IPC_324 (1),"Does BNS_to_IPC_324 (1) define any terms, and if so, what terms are defined?",collection_map
BNS_to_IPC_324 (1),"What are the primary obligations, prohibitions, or duties imposed by BNS_to_IPC_324 (1)?",collection_map
BNS_to_IPC_324 (1),"What penalties, fines, or remedies are specified for violations in BNS_to_IPC_324 (1)?",collection_map
BNS_to_IPC_324 (1),"Are there any exemptions, defenses, or exceptions listed in BNS_to_IPC_324 (1)?",collection_map
BNS_to_IPC_341 (2),"In the chunk with chunk_id BNS_to_IPC_341 (2), which IPC section number is indicated by the numeric portion of the ID?",collection_map
BNS_to_IPC_341 (2),What does the prefix BNS_to_IPC suggest about the chunk's intended mapping or relation between legal sources?,collection_map
BNS_to_IPC_341 (2),Does the text field contain any substantive legal text in this chunk?,collection_map
BNS_to_IPC_341 (2),What is the value of the doc_id field in the chunk's metadata?,collection_map
BNS_to_IPC_341 (2),What are the top-level keys present in this chunk's JSON structure besides the chunk_id field?,collection_map
BSA_to_IEA_166,What is the value of the chunk_id field for this data item?,collection_map
BSA_to_IEA_166,"Is there any textual content present in the ""text"" field of this chunk?",collection_map
BSA_to_IEA_166,"What is the value of the ""doc_id"" field, and is it empty or populated?",collection_map
BSA_to_IEA_166,"What does the ""metadata"" field contain for this chunk?",collection_map
BSA_to_IEA_166,"Based on the identifier ""BSA_to_IEA_166"", what two acronyms appear to be connected, and what might this indicate about the chunk's intended mapping or relationship?",collection_map
BNSS_to_CrPC_50,What is the implied subject area of the chunk BNSS_to_CrPC_50 based on its identifier?,collection_map
BNSS_to_CrPC_50,"Does BNSS_to_CrPC_50 currently include any statutory text, case law, or commentary in its text field, or is the content empty?",collection_map
BNSS_to_CrPC_50,"If BNSS_to_CrPC_50 represents a mapping to the CrPC, what does CrPC stand for, and what general procedural area would this mapping cover?",collection_map
BNSS_to_CrPC_50,"What metadata fields would be needed alongside BNSS_to_CrPC_50 to generate precise, text-based questions (e.g., jurisdiction, edition, section references)?",collection_map
BNSS_to_CrPC_50,What concrete steps would you take to populate BNSS_to_CrPC_50 with content so that five uniquely tied questions can be created?,collection_map
BNS_to_IPC_3(4),What does the chunk_id 'BNS_to_IPC_3(4)' indicate about the source code and the specific subsection involved?,collection_map
BNS_to_IPC_3(4),Identify the numeric subsection reference embedded in the chunk_id and describe how it would typically appear in a formal legal citation.,collection_map
BNS_to_IPC_3(4),"Which two legal codes are suggested by the chunk_id through the 'to' linkage, and what does this imply about cross-referencing?",collection_map
BNS_to_IPC_3(4),"If the chunk were to contain substantive text, which part would you expect to reflect a cross-reference between BNS and IPC?",collection_map
BNS_to_IPC_3(4),"Aside from the text content, which fields in the provided JSON structure uniquely identify this chunk, and what values do they hold currently?",collection_map
BNSS_to_CrPC_153,What is the chunk_id value for this legal text chunk in BNSS_to_CrPC_153?,collection_map
BNSS_to_CrPC_153,Does the 'text' field contain any substantive content in this BNSS_to_CrPC_153 chunk?,collection_map
BNSS_to_CrPC_153,What is the value of the 'doc_id' key in this chunk's JSON?,collection_map
BNSS_to_CrPC_153,What information is stored inside the 'metadata' object for BNSS_to_CrPC_153?,collection_map
BNSS_to_CrPC_153,"If a section number or abbreviation were present in the chunk, which fields in this JSON structure would be expected to contain it?",collection_map
BNS_to_IPC_244,What is the chunk_id of the legal material currently being analyzed?,collection_map
BNS_to_IPC_244,"If the empty text for BNS_to_IPC_244 were to be populated with statutory language, which IPC title or abbreviation would you expect to reference first?",collection_map
BNS_to_IPC_244,What specific gaps would you identify in chunk BNS_to_IPC_244 given that the 'text' field is blank?,collection_map
BNS_to_IPC_244,"Which metadata fields present in this chunk would you need to preserve when importing into a legal knowledge base (e.g., doc_id, text, metadata)?",collection_map
BNS_to_IPC_244,"When future text is added to BNS_to_IPC_244, what is the recommended format to annotate any section numbers or law titles to maintain IPC citation standards?",collection_map
BNS_to_IPC_294,What is the exact value of the chunk_id field for this entry?,collection_map
BNS_to_IPC_294,Does this chunk currently contain any legal text in the text field?,collection_map
BNS_to_IPC_294,What information is missing in the doc_id field that would help identify the source of the legal text for chunk BNS_to_IPC_294?,collection_map
BNS_to_IPC_294,Which fields in the metadata object would you expect to be populated to provide jurisdictional or source details?,collection_map
BNS_to_IPC_294,"If you later receive non-empty content for the text field, what immediate steps would you take to generate five distinct, self-contained questions?",collection_map
BNSS_to_CrPC_374,What would you expect to find in the 'text' field of BNSS_to_CrPC_374 if it were populated with CrPC content?,collection_map
BNSS_to_CrPC_374,"What is the current content of the 'doc_id' field for BNSS_to_CrPC_374, and what would be your next step to locate a source document?",collection_map
BNSS_to_CrPC_374,"Does the 'metadata' object accompany BNSS_to_CrPC_374 in this chunk, and what is its current state?",collection_map
BNSS_to_CrPC_374,"Given the chunk_id BNSS_to_CrPC_374, which legal code is it likely intended to reference, and what could be the relation between BNSS and CrPC?",collection_map
BNSS_to_CrPC_374,What practical steps would you take to obtain or verify the CrPC provisions that BNSS_to_CrPC_374 is supposed to map to?,collection_map
BNS_to_IPC_324 (5),Which statute and section are identified by the chunk_id BNS_to_IPC_324 (5)?,collection_map
BNS_to_IPC_324 (5),What is the core prohibited conduct under Indian Penal Code Section 324?,collection_map
BNS_to_IPC_324 (5),What element differentiates Section 324 from other hurt offenses in terms of weapon or means used?,collection_map
BNS_to_IPC_324 (5),What categories of punishment are associated with IPC Section 324?,collection_map
BNS_to_IPC_324 (5),Which jurisdiction's law contains IPC Section 324?,collection_map
BNSS_to_CrPC_58,Does the text field in BNSS_to_CrPC_58 contain any non-empty content?,collection_map
BNSS_to_CrPC_58,"Are there any section numbers, law titles, or abbreviations present in BNSS_to_CrPC_58?",collection_map
BNSS_to_CrPC_58,What is the value of the doc_id field for BNSS_to_CrPC_58?,collection_map
BNSS_to_CrPC_58,Is the metadata object associated with BNSS_to_CrPC_58 empty?,collection_map
BNSS_to_CrPC_58,What is the overall status of BNSS_to_CrPC_58 as a source for legal provisions (substantive content present or absent)?,collection_map
BNS_to_IPC_9,What is the exact value of the 'chunk_id' field for this data entry?,collection_map
BNS_to_IPC_9,What is the value of the 'doc_id' field in this chunk?,collection_map
BNS_to_IPC_9,What is the value of the 'text' field in this chunk?,collection_map
BNS_to_IPC_9,What is the value of the 'metadata' field in this chunk?,collection_map
BNS_to_IPC_9,"If the 'text' field were populated with legal content, which identifiers (section numbers, law titles, or abbreviations) would you expect to be used to tie the content to a specific statute or framework?",collection_map
BNSS_to_CrPC_517,BNSS_to_CrPC_517 currently has an empty 'text' field; what types of data should be added to define a usable cross-reference between BNSS and the CrPC?,collection_map
BNSS_to_CrPC_517,"What is the preferred canonical CrPC reference format you would apply in BNSS_to_CrPC_517 (for example, 'CrPC, s. 161')?",collection_map
BNSS_to_CrPC_517,Which metadata fields should accompany the mapping in BNSS_to_CrPC_517 to uniquely identify the BNSS entry and the CrPC provision it maps to?,collection_map
BNSS_to_CrPC_517,"If you were to populate BNSS_to_CrPC_517, what would be the minimal set of elements required to support automated lookups from BNSS identifiers to CrPC sections?",collection_map
BNSS_to_CrPC_517,What validation rules would you implement to ensure future content added to BNSS_to_CrPC_517 remains consistent with CrPC section numbering and BNSS identifiers?,collection_map
BNSS_to_CrPC_339,"In BNSS_to_CrPC_339, is the ""text"" field non-empty?",collection_map
BNSS_to_CrPC_339,"What is the value of the ""doc_id"" field for BNSS_to_CrPC_339?",collection_map
BNSS_to_CrPC_339,"What does the ""metadata"" field contain in BNSS_to_CrPC_339?",collection_map
BNSS_to_CrPC_339,Does BNSS_to_CrPC_339 have any non-empty metadata entries?,collection_map
BNSS_to_CrPC_339,Is there any substantive legal content available in the BNSS_to_CrPC_339 chunk's text?,collection_map
BSA_to_IEA_35,What is the formal law title or act name referenced in chunk BSA_to_IEA_35?,collection_map
BSA_to_IEA_35,"Does chunk BSA_to_IEA_35 contain defined terms, and if so, what are their definitions?",collection_map
BSA_to_IEA_35,"What are the section numbers, article numbers, or headings that appear in chunk BSA_to_IEA_35?",collection_map
BSA_to_IEA_35,"Are there any cross-references to other statutes or regulations in chunk BSA_to_IEA_35? If yes, specify them.",collection_map
BSA_to_IEA_35,What is the stated effective date or enforcement date within chunk BSA_to_IEA_35?,collection_map
BNSS_to_CrPC_469,"What is the value of the ""chunk_id"" field in this JSON chunk?",collection_map
BNSS_to_CrPC_469,"What is the value of the ""doc_id"" field in this JSON chunk?",collection_map
BNSS_to_CrPC_469,"What is the value of the ""text"" field in this JSON chunk?",collection_map
BNSS_to_CrPC_469,"What is the structure and content of the ""metadata"" field in this JSON chunk?",collection_map
BNSS_to_CrPC_469,"If you needed to reference this chunk in a legal database, which identifier from the JSON would you use as the primary key?",collection_map
BNSS_to_CrPC_191,What is the exact value of the 'chunk_id' field for this dataset entry?,collection_map
BNSS_to_CrPC_191,"Which field in this chunk’s JSON is currently empty, signaling missing legal text content?",collection_map
BNSS_to_CrPC_191,"In BNSS_to_CrPC_191, what does the 'CrPC' portion of the identifier most likely reference in a legal data context?",collection_map
BNSS_to_CrPC_191,"If you were to populate the BNSS_to_CrPC_191 chunk with statutory text, what convention would you use to insert section numbers or abbreviations to tie to specific provisions?",collection_map
BNSS_to_CrPC_191,What additional metadata would you include with BNSS_to_CrPC_191 to ensure future question generation can be accurately aligned with the intended legal topic?,collection_map
BNSS_to_CrPC_307,"In the BNSS_to_CrPC_307 mapping, what is being cross-referenced between BNSS terminology and CrPC provisions?",collection_map
BNSS_to_CrPC_307,"What CrPC section number is encoded in the BNSS_to_CrPC_307 identifier, and what does this imply about the linked provision?",collection_map
BNSS_to_CrPC_307,How should BNSS_to_CrPC_307 guide a practitioner when a BNSS term has no direct CrPC counterpart?,collection_map
BNSS_to_CrPC_307,"What types of supplementary data would you expect BNSS_to_CrPC_307 to include to ensure accurate cross-referencing (e.g., definitions, equivalence rules, notes)?",collection_map
BNSS_to_CrPC_307,What potential ambiguity should a database manager watch for when implementing BNSS_to_CrPC_307 across multiple jurisdictions or editions?,collection_map
BNS_to_IPC_324 (2),"What is the exact value of the ""chunk_id"" field for this legal text chunk?",collection_map
BNS_to_IPC_324 (2),"What is the value of the ""doc_id"" field in the provided chunk?",collection_map
BNS_to_IPC_324 (2),"What is the content of the ""text"" field in the chunk?",collection_map
BNS_to_IPC_324 (2),"What keys are present at the top level of the ""metadata"" object in this chunk?",collection_map
BNS_to_IPC_324 (2),"Is the ""metadata"" object non-empty in this chunk?",collection_map
BNSS_to_CrPC_516,"In the given JSON object, what is the value of the chunk_id for this legal text fragment?",collection_map
BNSS_to_CrPC_516,What is the value of the doc_id field for this chunk BNSS_to_CrPC_516?,collection_map
BNSS_to_CrPC_516,Is there any textual content in the 'text' field of this chunk?,collection_map
BNSS_to_CrPC_516,What is the value of the 'metadata' field for this chunk?,collection_map
BNSS_to_CrPC_516,"Does the 'text' content of this chunk include any section numbers, law titles, or abbreviations?",collection_map
BSA_to_IEA_62,List all section numbers referenced in chunk BSA_to_IEA_62 and provide the corresponding law titles or abbreviations.,collection_map
BSA_to_IEA_62,Identify any abbreviations used in chunk BSA_to_IEA_62 and explain the terms they stand for.,collection_map
BSA_to_IEA_62,What is the stated objective or purpose connected to the BSA-to-IEA transition in chunk BSA_to_IEA_62?,collection_map
BSA_to_IEA_62,"Does chunk BSA_to_IEA_62 reference other statutes or regulations, and if so, which ones?",collection_map
BSA_to_IEA_62,"Does chunk BSA_to_IEA_62 specify any effective dates, deadlines, or compliance timelines? If so, what are they?",collection_map
BNSS_to_CrPC_2(1)(u),"What is the value of the ""chunk_id"" field in the provided chunk?",collection_map
BNSS_to_CrPC_2(1)(u),"Does the ""text"" field in the chunk contain any content?",collection_map
BNSS_to_CrPC_2(1)(u),"What is the value of the ""doc_id"" field for this chunk?",collection_map
BNSS_to_CrPC_2(1)(u),"What is the content of the ""metadata"" field in the chunk?",collection_map
BNSS_to_CrPC_2(1)(u),"Which legal code abbreviation appears in the ""chunk_id"" (e.g., CrPC)?",collection_map
BNSS_to_CrPC_118,What is the chunk_id assigned to the legal text segment in this input?,collection_map
